月份,SHFE铜主连成交量,SHFE铜主连持仓量,SHFE铜主连收盘价,SHFE铜主连成交量_变化率,SHFE铜主连持仓量_变化率,SHFE铝主连成交量,SHFE铝主连持仓量,SHFE铝主连收盘价,SHFE铝主连成交量_变化率,SHFE铝主连持仓量_变化率
2020-01-01,1146785,114727,48020.0,-68.0200326385101,-52.08808372380499,1069250,117858,14100.0,-62.78503340558797,-50.55462325893607
2020-02-01,1130676,128432,44390.0,-1.4047096883897159,11.945749474840284,836281,131339,13110.0,-21.788075754033198,11.43834105448931
2020-03-01,2198317,110825,39150.0,94.42501653877858,-13.709200199327265,1784032,121127,11590.0,113.32925177063689,-7.775299035320815
2020-04-01,1733819,112411,42940.0,-21.129709682452535,1.4310850439882783,1995276,106592,12660.0,11.840818998762348,-11.999801860856785
2020-05-01,1546735,102888,43940.0,-10.790284337638479,-8.471590858545873,1896897,151432,13215.0,-4.930596067912408,42.06694686280397
2020-06-01,2366893,124357,48790.0,53.02511419215315,20.86637897519632,1918893,165170,13830.0,1.1595779844662202,9.072058745839717
2020-07-01,3619240,118759,51820.0,52.91101034140537,-4.501556004085017,2721454,128926,14685.0,41.82416632923254,-21.94345220076285
2020-08-01,2683518,117479,51980.0,-25.854101966158638,-1.0778130499583205,2263174,118362,14540.0,-16.839527693652002,-8.193847633526207
2020-09-01,3045148,103500,50930.0,13.475966995563283,-11.899147932822041,2591424,101113,14145.0,14.503966553168258,-14.573089336104495
2020-10-01,1780134,116208,50940.0,-41.541954611073095,12.278260869565226,1498248,106264,14370.0,-42.18437430540119,5.094300436145693
2020-11-01,2874917,156167,57680.0,61.50003314357233,34.385756574418295,2916167,162297,16485.0,94.63847106754022,52.7299932244222
2020-12-01,3506137,105758,57750.0,21.95611212428046,-32.2789065551621,4310515,112085,15460.0,47.81440843408489,-30.93834143576283
2021-01-01,2737453,122149,57550.0,-21.923957905809154,15.498591123130169,3315541,164633,15005.0,-23.082485503472327,46.88227684346702
2021-02-01,3265286,140997,67950.0,19.281901826259663,15.430335082563108,3481404,216438,17465.0,5.002592337117839,31.466959844016685
2021-03-01,4421089,142081,65600.0,35.39668500707136,0.7688106839152553,7229128,201819,17155.0,107.6497872697337,-6.754359216034156
