series,horizon,model,weight,eligible,model_MAE,naive_MAE,beats_naive
铝合金ADC12,19,Ridge_direct_h,0.0,False,587.6580843416763,384.9557522123889,False
铝合金ADC12,19,Rolling_log_drift_120d,0.0,False,515.4023834888644,384.9557522123889,False
铝合金ADC12,19,Rolling_log_drift_20d,0.0,False,662.7981402012012,384.9557522123889,False
铝合金ADC12,19,Rolling_log_drift_5d,0.0,False,953.6937402822155,384.9557522123889,False
铝合金ADC12,19,Rolling_log_drift_60d,0.0,False,587.5295095490975,384.9557522123889,False
铝合金ADC12,20,ARIMA_log,0.0,False,558.474815609894,388.6430678466073,False
铝合金ADC12,20,Median_ensemble,0.0,False,501.8823037436844,388.6430678466073,False
铝合金ADC12,20,Naive_last,1.0,True,388.6430678466073,388.6430678466073,False
铝合金ADC12,20,Ridge_direct_h,0.0,False,610.6949143273838,388.6430678466073,False
铝合金ADC12,20,Rolling_log_drift_120d,0.0,False,534.1972566199449,388.6430678466073,False
铝合金ADC12,20,Rolling_log_drift_20d,0.0,False,687.8122583378215,388.6430678466073,False
铝合金ADC12,20,Rolling_log_drift_5d,0.0,False,993.9872945029794,388.6430678466073,False
铝合金ADC12,20,Rolling_log_drift_60d,0.0,False,608.1199359732675,388.6430678466073,False
铝合金ADC12,21,ARIMA_log,0.0,False,565.1855951967644,387.90560471976363,False
铝合金ADC12,21,Median_ensemble,0.0,False,510.74889315858746,387.90560471976363,False
铝合金ADC12,21,Naive_last,1.0,True,387.90560471976363,387.90560471976363,False
铝合金ADC12,21,Ridge_direct_h,0.0,False,627.4416875088526,387.90560471976363,False
铝合金ADC12,21,Rolling_log_drift_120d,0.0,False,554.669930050022,387.90560471976363,False
铝合金ADC12,21,Rolling_log_drift_20d,0.0,False,708.5714686709033,387.90560471976363,False
铝合金ADC12,21,Rolling_log_drift_5d,0.0,False,1038.3555198957026,387.90560471976363,False
铝合金ADC12,21,Rolling_log_drift_60d,0.0,False,623.8625462788581,387.90560471976363,False
铝合金ADC12,22,ARIMA_log,0.0,False,570.4211852351696,391.5929203539818,False
铝合金ADC12,22,Median_ensemble,0.0,False,528.1735007225735,391.5929203539818,False
铝合金ADC12,22,Naive_last,1.0,True,391.5929203539818,391.5929203539818,False
铝合金ADC12,22,Ridge_direct_h,0.0,False,645.6716849022126,391.5929203539818,False
铝合金ADC12,22,Rolling_log_drift_120d,0.0,False,576.113778863569,391.5929203539818,False
铝合金ADC12,22,Rolling_log_drift_20d,0.0,False,737.6385463900068,391.5929203539818,False
铝合金ADC12,22,Rolling_log_drift_5d,0.0,False,1083.5204218494614,391.5929203539818,False
铝合金ADC12,22,Rolling_log_drift_60d,0.0,False,642.8379498043552,391.5929203539818,False
铝合金ADC12,23,ARIMA_log,0.0,False,576.0296398782916,398.2300884955747,False
铝合金ADC12,23,Median_ensemble,0.0,False,553.8221061458248,398.2300884955747,False
铝合金ADC12,23,Naive_last,1.0,True,398.2300884955747,398.2300884955747,False
铝合金ADC12,23,Ridge_direct_h,0.0,False,661.9945968857551,398.2300884955747,False
铝合金ADC12,23,Rolling_log_drift_120d,0.0,False,602.4875288949299,398.2300884955747,False
铝合金ADC12,23,Rolling_log_drift_20d,0.0,False,767.5975195832439,398.2300884955747,False
铝合金ADC12,23,Rolling_log_drift_5d,0.0,False,1135.5080863219812,398.2300884955747,False
铝合金ADC12,23,Rolling_log_drift_60d,0.0,False,670.04381797022,398.2300884955747,False
铝合金ADC12,24,ARIMA_log,0.0,False,581.5232923089505,408.554572271386,False
铝合金ADC12,24,Median_ensemble,0.0,False,575.214731771239,408.554572271386,False
铝合金ADC12,24,Naive_last,1.0,True,408.554572271386,408.554572271386,False
铝合金ADC12,24,Ridge_direct_h,0.0,False,677.9035603546617,408.554572271386,False
铝合金ADC12,24,Rolling_log_drift_120d,0.0,False,627.0280903934976,408.554572271386,False
铝合金ADC12,24,Rolling_log_drift_20d,0.0,False,800.5606631523016,408.554572271386,False
铝合金ADC12,24,Rolling_log_drift_5d,0.0,False,1187.4735096246047,408.554572271386,False
铝合金ADC12,24,Rolling_log_drift_60d,0.0,False,698.2716503956649,408.554572271386,False
铝合金ADC12,25,ARIMA_log,0.0,False,585.2594725967655,420.3539823008845,False
铝合金ADC12,25,Median_ensemble,0.0,False,600.9294610687656,420.3539823008845,False
铝合金ADC12,25,Naive_last,1.0,True,420.3539823008845,420.3539823008845,False
铝合金ADC12,25,Ridge_direct_h,0.0,False,694.5088183615165,420.3539823008845,False
铝合金ADC12,25,Rolling_log_drift_120d,0.0,False,649.9172480372957,420.3539823008845,False
铝合金ADC12,25,Rolling_log_drift_20d,0.0,False,836.7653547420528,420.3539823008845,False
铝合金ADC12,25,Rolling_log_drift_5d,0.0,False,1246.8649573530624,420.3539823008845,False
铝合金ADC12,25,Rolling_log_drift_60d,0.0,False,729.5912441938543,420.3539823008845,False
铝合金ADC12,26,ARIMA_log,0.0,False,590.4712594821902,433.6283185840705,False
铝合金ADC12,26,Median_ensemble,0.0,False,616.3128492765485,433.6283185840705,False
铝合金ADC12,26,Naive_last,1.0,True,433.6283185840705,433.6283185840705,False
铝合金ADC12,26,Ridge_direct_h,0.0,False,713.3723823272422,433.6283185840705,False
铝合金ADC12,26,Rolling_log_drift_120d,0.0,False,669.1097847799746,433.6283185840705,False
铝合金ADC12,26,Rolling_log_drift_20d,0.0,False,864.0086917161354,433.6283185840705,False
铝合金ADC12,26,Rolling_log_drift_5d,0.0,False,1294.5091360763456,433.6283185840705,False
铝合金ADC12,26,Rolling_log_drift_60d,0.0,False,758.5184357229683,433.6283185840705,False
铝合金ADC12,27,ARIMA_log,0.0,False,595.6952241864245,435.8407079646015,False
铝合金ADC12,27,Median_ensemble,0.0,False,630.1050870453648,435.8407079646015,False
铝合金ADC12,27,Naive_last,1.0,True,435.8407079646015,435.8407079646015,False
铝合金ADC12,27,Ridge_direct_h,0.0,False,735.6444902654454,435.8407079646015,False
铝合金ADC12,27,Rolling_log_drift_120d,0.0,False,688.8139261111772,435.8407079646015,False
铝合金ADC12,27,Rolling_log_drift_20d,0.0,False,891.772435403735,435.8407079646015,False
铝合金ADC12,27,Rolling_log_drift_5d,0.0,False,1341.9548853976419,435.8407079646015,False
铝合金ADC12,27,Rolling_log_drift_60d,0.0,False,784.0819717709688,435.8407079646015,False
铝合金ADC12,28,ARIMA_log,0.0,False,600.2048943486708,441.7404129793506,False
铝合金ADC12,28,Median_ensemble,0.0,False,647.9255389675371,441.7404129793506,False
铝合金ADC12,28,Naive_last,1.0,True,441.7404129793506,441.7404129793506,False
铝合金ADC12,28,Ridge_direct_h,0.0,False,754.714959981923,441.7404129793506,False
铝合金ADC12,28,Rolling_log_drift_120d,0.0,False,705.6950709082516,441.7404129793506,False
铝合金ADC12,28,Rolling_log_drift_20d,0.0,False,918.8148223894873,441.7404129793506,False
铝合金ADC12,28,Rolling_log_drift_5d,0.0,False,1394.4181835710187,441.7404129793506,False
铝合金ADC12,28,Rolling_log_drift_60d,0.0,False,811.7178837371486,441.7404129793506,False
铝合金ADC12,29,ARIMA_log,0.0,False,596.5844093303214,443.2153392330377,False
铝合金ADC12,29,Median_ensemble,0.0,False,661.4548687213745,443.2153392330377,False
铝合金ADC12,29,Naive_last,1.0,True,443.2153392330377,443.2153392330377,False
铝合金ADC12,29,Ridge_direct_h,0.0,False,768.7622681681808,443.2153392330377,False
铝合金ADC12,29,Rolling_log_drift_120d,0.0,False,713.946442353163,443.2153392330377,False
铝合金ADC12,29,Rolling_log_drift_20d,0.0,False,944.756451065809,443.2153392330377,False
铝合金ADC12,29,Rolling_log_drift_5d,0.0,False,1441.278447020925,443.2153392330377,False
铝合金ADC12,29,Rolling_log_drift_60d,0.0,False,834.9690295447906,443.2153392330377,False
铝合金ADC12,30,ARIMA_log,0.0,False,593.3641154646683,443.2153392330376,False
铝合金ADC12,30,Median_ensemble,0.0,False,672.4534320404823,443.2153392330376,False
铝合金ADC12,30,Naive_last,1.0,True,443.2153392330376,443.2153392330376,False
铝合金ADC12,30,Ridge_direct_h,0.0,False,777.4495283962283,443.2153392330376,False
铝合金ADC12,30,Rolling_log_drift_120d,0.0,False,723.9959538759173,443.2153392330376,False
铝合金ADC12,30,Rolling_log_drift_20d,0.0,False,967.3634351277038,443.2153392330376,False
铝合金ADC12,30,Rolling_log_drift_5d,0.0,False,1486.6246826641686,443.2153392330376,False
铝合金ADC12,30,Rolling_log_drift_60d,0.0,False,861.2564652065987,443.2153392330376,False
铸造铝合金锭(ZLD104),1,ARIMA_log,0.0,False,469.39528023598854,130.5309734513274,False
铸造铝合金锭(ZLD104),1,Median_ensemble,0.0,False,139.1560184273464,130.5309734513274,False
铸造铝合金锭(ZLD104),1,Naive_last,1.0,True,130.5309734513274,130.5309734513274,False
铸造铝合金锭(ZLD104),1,Ridge_direct_h,0.0,False,216.59366967106155,130.5309734513274,False
铸造铝合金锭(ZLD104),1,Rolling_log_drift_120d,0.0,False,137.9465199009297,130.5309734513274,False
铸造铝合金锭(ZLD104),1,Rolling_log_drift_20d,0.0,False,140.98899719729886,130.5309734513274,False
铸造铝合金锭(ZLD104),1,Rolling_log_drift_5d,0.0,False,152.87170295677873,130.5309734513274,False
铸造铝合金锭(ZLD104),1,Rolling_log_drift_60d,0.0,False,138.30284916694825,130.5309734513274,False
铸造铝合金锭(ZLD104),2,ARIMA_log,0.0,False,503.3185840707965,185.10324483775818,False
铸造铝合金锭(ZLD104),2,Median_ensemble,0.0,False,199.05158413740108,185.10324483775818,False
铸造铝合金锭(ZLD104),2,Naive_last,1.0,True,185.10324483775818,185.10324483775818,False
铸造铝合金锭(ZLD104),2,Ridge_direct_h,0.0,False,260.3784172417305,185.10324483775818,False
铸造铝合金锭(ZLD104),2,Rolling_log_drift_120d,0.0,False,197.6280657124119,185.10324483775818,False
铸造铝合金锭(ZLD104),2,Rolling_log_drift_20d,0.0,False,203.07967974894635,185.10324483775818,False
铸造铝合金锭(ZLD104),2,Rolling_log_drift_5d,0.0,False,231.01303842357657,185.10324483775818,False
铸造铝合金锭(ZLD104),2,Rolling_log_drift_60d,0.0,False,198.30875060910424,185.10324483775818,False
铸造铝合金锭(ZLD104),3,ARIMA_log,0.0,False,527.654867256637,249.2625368731563,False
铸造铝合金锭(ZLD104),3,Median_ensemble,0.0,False,267.0322957969965,249.2625368731563,False
铸造铝合金锭(ZLD104),3,Naive_last,1.0,True,249.2625368731563,249.2625368731563,False
铸造铝合金锭(ZLD104),3,Ridge_direct_h,0.0,False,304.99698202211897,249.2625368731563,False
铸造铝合金锭(ZLD104),3,Rolling_log_drift_120d,0.0,False,273.25291356667515,249.2625368731563,False
铸造铝合金锭(ZLD104),3,Rolling_log_drift_20d,0.0,False,277.14697020458397,249.2625368731563,False
铸造铝合金锭(ZLD104),3,Rolling_log_drift_5d,0.0,False,315.4787211377091,249.2625368731563,False
铸造铝合金锭(ZLD104),3,Rolling_log_drift_60d,0.0,False,266.74748639842323,249.2625368731563,False
铸造铝合金锭(ZLD104),4,ARIMA_log,0.0,False,547.5663716814155,292.77286135693197,False
铸造铝合金锭(ZLD104),4,Median_ensemble,0.0,False,317.927022887069,292.77286135693197,False
铸造铝合金锭(ZLD104),4,Naive_last,1.0,True,292.77286135693197,292.77286135693197,False
铸造铝合金锭(ZLD104),4,Ridge_direct_h,0.0,False,346.008426175522,292.77286135693197,False
铸造铝合金锭(ZLD104),4,Rolling_log_drift_120d,0.0,False,326.1606800462351,292.77286135693197,False
铸造铝合金锭(ZLD104),4,Rolling_log_drift_20d,0.0,False,333.9444664183964,292.77286135693197,False
铸造铝合金锭(ZLD104),4,Rolling_log_drift_5d,0.0,False,403.6900389695335,292.77286135693197,False
铸造铝合金锭(ZLD104),4,Rolling_log_drift_60d,0.0,False,315.45905261714785,292.77286135693197,False
铸造铝合金锭(ZLD104),5,ARIMA_log,0.0,False,567.4778761061937,339.97050147492615,False
铸造铝合金锭(ZLD104),5,Median_ensemble,0.0,False,367.1359830972751,339.97050147492615,False
铸造铝合金锭(ZLD104),5,Naive_last,1.0,True,339.97050147492615,339.97050147492615,False
铸造铝合金锭(ZLD104),5,Ridge_direct_h,0.0,False,383.39253206090956,339.97050147492615,False
铸造铝合金锭(ZLD104),5,Rolling_log_drift_120d,0.0,False,387.6035866925904,339.97050147492615,False
