series,horizon,model,MAE,RMSE,MAPE_%,Bias,n_obs,naive_MAE,naive_RMSE,naive_MAPE_%,beats_naive
1#铜,13,Ridge_direct_h,2501.3888582469945,3042.968557991251,2.775094963783718,-277.34839715454143,120,2488.938053097345,3024.818374093981,2.755315706714199,False
1#铜,13,Median_ensemble,2542.6955238046803,3102.998043534578,2.8255309856840785,50.96883842758931,120,2488.938053097345,3024.818374093981,2.755315706714199,False
1#铜,13,ARIMA_log,2588.281377303285,3372.398022066117,2.860253953407914,-212.53633403462507,120,2488.938053097345,3024.818374093981,2.755315706714199,False
1#铜,13,Rolling_log_drift_120d,2864.8182468870077,3514.514275644011,3.194985413594477,893.5983638752593,120,2488.938053097345,3024.818374093981,2.755315706714199,False
1#铜,13,Rolling_log_drift_60d,3028.9484976708763,3778.8941734084215,3.380772519366425,439.5000040704393,120,2488.938053097345,3024.818374093981,2.755315706714199,False
1#铜,13,Rolling_log_drift_20d,3151.7908872383186,4089.420225176487,3.490339444716808,-269.41922496059607,120,2488.938053097345,3024.818374093981,2.755315706714199,False
1#铜,13,Rolling_log_drift_5d,4453.66944938111,6055.643925829763,4.910120127097358,-109.44716111238607,120,2488.938053097345,3024.818374093981,2.755315706714199,False
1#铜,14,Final_ensemble,2551.0324483775817,3128.0732401820933,2.8227047831838212,-655.0147492625368,120,2551.0324483775817,3128.0732401820933,2.8227047831838212,False
1#铜,14,Naive_last,2551.0324483775817,3128.0732401820933,2.8227047831838212,-655.0147492625368,120,2551.0324483775817,3128.0732401820933,2.8227047831838212,False
1#铜,14,Ridge_direct_h,2572.372851133357,3143.3337948970748,2.8542308390934736,-216.49086493225258,120,2551.0324483775817,3128.0732401820933,2.8227047831838212,False
1#铜,14,ARIMA_log,2599.544929986274,3389.2822139119444,2.8716929543746397,-222.99161159822447,120,2551.0324483775817,3128.0732401820933,2.8227047831838212,False
1#铜,14,Median_ensemble,2625.996924235685,3211.1224717182126,2.917618163401182,86.77588607607734,120,2551.0324483775817,3128.0732401820933,2.8227047831838212,False
